DeviceID	TimeStamp	DeviceType	CurrentStatus
Machine236	2015-04-08 17:29:09.499	Sensor	User Away from Home	
Machine236	2015-04-08 17:29:10.501	Sensor	User Away from Home	
Machine236	2015-04-08 17:29:11.501	Sensor	User Away from Home	
Machine236	2015-04-08 17:29:12.501	Sensor	User Present in Home	
Machine236	2015-04-08 17:29:13.502	Sensor	User Present in Home	
Machine236	2015-04-08 17:29:14.503	Sensor	User Present in Home	
Machine236	2015-04-08 17:29:15.505	Sensor	User Away from Home	
Machine236	2015-04-08 17:29:16.506	Sensor	User Away from Home	
Machine236	2015-04-08 17:29:17.506	Sensor	User Present in Home	
Machine236	2015-04-08 17:29:18.507	Sensor	User Present in Home	
Machine236	2015-04-08 17:29:19.508	Sensor	User Present in Home	
Machine236	2015-04-08 17:29:20.51	Sensor	User Away from Home	
Machine236	2015-04-08 17:29:21.51	Sensor	User Away from Home	
Machine236	2015-04-08 17:29:22.511	Sensor	User Away from Home	
Machine236	2015-04-08 17:29:23.515	Sensor	User Away from Home	
Machine236	2015-04-08 17:29:24.513	Sensor	User Present in Home	
Machine236	2015-04-08 17:29:25.515	Sensor	User Away from Home	
Machine236	2015-04-08 17:29:26.515	Sensor	User Present in Home	
Machine236	2015-04-08 17:29:27.516	Sensor	User Away from Home	
Machine236	2015-04-08 17:29:28.517	Sensor	User Present in Home	
Machine236	2015-04-08 18:20:59.115	Sensor	User Away from Home	
Machine236	2015-04-08 18:21:00.116	Sensor	User Away from Home	
Machine236	2015-04-08 18:21:01.117	Sensor	User Away from Home	
Machine236	2015-04-08 18:21:02.118	Sensor	User Present in Home	
Machine236	2015-04-08 18:21:03.119	Sensor	User Present in Home	
Machine236	2015-04-08 18:21:04.123	Sensor	User Present in Home	
Machine236	2015-04-08 18:21:05.121	Sensor	User Away from Home	
Machine236	2015-04-08 18:21:06.122	Sensor	User Away from Home	
Machine236	2015-04-08 18:21:07.123	Sensor	User Present in Home	
Machine236	2015-04-08 18:21:08.124	Sensor	User Present in Home	
Machine236	2015-04-08 18:21:09.125	Sensor	User Present in Home	
Machine236	2015-04-08 18:21:10.126	Sensor	User Away from Home	
Machine236	2015-04-08 18:21:11.127	Sensor	User Away from Home	
Machine236	2015-04-08 18:21:12.128	Sensor	User Away from Home	
Machine236	2015-04-08 18:21:13.131	Sensor	User Away from Home	
Machine236	2015-04-08 18:21:14.13	Sensor	User Present in Home	
Machine236	2015-04-08 18:21:15.131	Sensor	User Away from Home	
Machine236	2015-04-08 18:21:16.136	Sensor	User Present in Home	
Machine236	2015-04-08 18:21:17.133	Sensor	User Away from Home	
Machine236	2015-04-08 18:21:18.135	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Present in Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
Machine236	timeStamp	Sensor	User Away from Home	
