DeviceID	DeviceType	TimeStamp	CurrentStatus	InferredActivity
Machine3	Sensor	40	doorClosed	Intruder left home	
Machine2	Sensor	41	eventYesMotion	Intruder entered home	
Machine2	Sensor	42	eventYesMotion	Intruder entered home	
Machine3	Sensor	43	doorOpen	Intruder left home	
Machine2	Sensor	44	eventYesMotion	User came home	
Machine3	Sensor	45	doorClosed	User came home	
Machine3	Sensor	46	doorOpen	Intruder left home	
Machine2	Sensor	47	eventYesMotion	Intruder entered home	
Machine2	Sensor	48	eventYesMotion	User came home	
Machine3	Sensor	49	doorClosed	User came home	
Machine3	Sensor	50	doorOpen	User left home	
Machine2	Sensor	51	eventYesMotion	Intruder entered home	
Machine2	Sensor	52	eventYesMotion	Intruder entered home	
Machine3	Sensor	53	doorClosed	Intruder entered home	
Machine2	Sensor	54	eventYesMotion	Intruder entered home	
Machine3	Sensor	55	doorOpen	Intruder left home	
Machine2	Sensor	56	eventYesMotion	User came home	
Machine3	Sensor	57	doorClosed	User came home	
Machine2	Sensor	58	eventYesMotion	User came home	
Machine2	Sensor	59	eventYesMotion	User came home	
Machine2	Sensor	60	eventYesMotion	User came home	
Machine3	Sensor	42	doorClosed	Intruder left home	
Machine2	Sensor	43	eventYesMotion	Intruder entered home	
Machine2	Sensor	44	eventYesMotion	Intruder entered home	
Machine3	Sensor	45	doorOpen	Intruder left home	
Machine2	Sensor	46	eventYesMotion	User came home	
Machine3	Sensor	47	doorClosed	User came home	
Machine3	Sensor	48	doorOpen	Intruder left home	
Machine2	Sensor	49	eventYesMotion	Intruder entered home	
Machine2	Sensor	50	eventYesMotion	User came home	
Machine3	Sensor	51	doorClosed	User came home	
Machine3	Sensor	52	doorOpen	User left home	
Machine2	Sensor	53	eventYesMotion	Intruder entered home	
Machine2	Sensor	54	eventYesMotion	Intruder entered home	
Machine3	Sensor	55	doorClosed	Intruder entered home	
Machine2	Sensor	56	eventYesMotion	Intruder entered home	
Machine3	Sensor	57	doorOpen	Intruder left home	
Machine2	Sensor	58	eventYesMotion	User came home	
Machine3	Sensor	59	doorClosed	User came home	
Machine2	Sensor	60	eventYesMotion	User came home	
Machine2	Sensor	61	eventYesMotion	User came home	
Machine2	Sensor	62	eventYesMotion	User came home	
Machine3	Sensor	42	doorClosed	Intruder left home	
Machine2	Sensor	43	eventYesMotion	Intruder entered home	
Machine2	Sensor	44	eventYesMotion	Intruder entered home	
Machine3	Sensor	45	doorOpen	Intruder left home	
Machine2	Sensor	46	eventYesMotion	User came home	
Machine3	Sensor	47	doorClosed	User came home	
Machine3	Sensor	48	doorOpen	Intruder left home	
Machine2	Sensor	49	eventYesMotion	Intruder entered home	
Machine2	Sensor	50	eventYesMotion	User came home	
Machine3	Sensor	51	doorClosed	User came home	
Machine3	Sensor	52	doorOpen	User left home	
Machine2	Sensor	53	eventYesMotion	Intruder entered home	
